city,recorded_at,hour,day_of_week,day_of_week_name,month,season,is_daytime,is_weekend,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_cardinal,visibility_km,weather_main,cloud_cover_pct
Delhi,2026-06-10 13:00:00,13,2,Wednesday,6,Monsoon,1,0,123,Unhealthy for Sensitive Groups,pm10,65,123,3.8,9.5,4.6,1.3,43.97,26.97,15,997,3.93,9.26,W,10.0,Clear,0
Chennai,2026-06-10 09:00:00,9,2,Wednesday,6,Monsoon,1,0,81,Moderate,pm25,81,51,4.7,12.8,10.3,2.1,37.83,27.03,46,1005,2.68,3.13,W,10.0,Clouds,100
Kolkata,2026-06-10 10:00:00,10,2,Wednesday,6,Monsoon,1,0,68,Moderate,pm25,68,54,7.1,11.7,3.8,3.3,40.71,27.11,32,999,5.74,5.5,S,10.0,Clear,6
Mumbai,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,151,Unhealthy,pm25,151,79,2.1,11.7,2.2,11.9,31.43,25.63,71,1006,6.29,6.98,W,10.0,Clouds,31
Delhi,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,132,Unhealthy for Sensitive Groups,pm10,83,132,3.0,15.4,3.1,2.6,44.98,27.58,13,994,7.41,9.23,W,10.0,Clouds,29
Chennai,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,78,Moderate,pm25,78,49,6.2,13.2,11.4,2.1,35.53,26.33,54,1003,1.79,3.58,NW,10.0,Clouds,100
Kolkata,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,90,Moderate,pm25,90,59,9.3,14.6,3.6,2.7,38.5,25.9,37,997,8.16,6.96,S,10.0,Rain,35
Mumbai,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,151,Unhealthy,pm25,151,79,2.1,11.7,2.2,11.9,31.37,25.77,72,1006,7.44,8.54,W,10.0,Clouds,100
Delhi,2026-06-10 17:00:00,17,2,Wednesday,6,Monsoon,1,0,121,Unhealthy for Sensitive Groups,pm10,78,121,6.0,16.3,4.6,2.6,43.7,26.7,15,994,6.67,8.86,W,10.0,Clear,0
Chennai,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,78,Moderate,pm25,78,49,6.2,13.2,11.4,2.1,34.97,26.17,56,1003,1.34,1.34,SW,10.0,Clouds,100
Kolkata,2026-06-10 16:00:00,16,2,Wednesday,6,Monsoon,1,0,90,Moderate,pm25,90,59,9.3,14.6,3.6,2.7,34.33,24.93,53,999,7.47,8.87,S,10.0,Rain,13
Mumbai,2026-06-11 13:00:00,13,3,Thursday,6,Monsoon,1,0,146,Unhealthy for Sensitive Groups,pm25,146,75,2.2,11.6,2.4,11.8,31.05,24.85,69,1006,6.02,6.1,W,10.0,Clouds,92
Delhi,2026-06-11 13:00:00,13,3,Thursday,6,Monsoon,1,0,83,Moderate,pm25,83,69,12.3,13.6,1.9,34.0,43.32,27.12,19,998,1.18,4.43,S,10.0,Clear,0
Chennai,2026-06-11 13:00:00,13,3,Thursday,6,Monsoon,1,0,72,Moderate,pm25,72,44,5.5,11.1,9.6,1.9,32.43,25.03,63,1005,0.45,0.89,SE,10.0,Rain,100
Kolkata,2026-06-11 13:00:00,13,3,Thursday,6,Monsoon,1,0,65,Moderate,pm25,65,39,9.4,10.8,3.1,2.6,35.83,24.83,45,1001,5.89,5.82,SE,10.0,Rain,94
Mumbai,2026-06-11 15:00:00,15,3,Thursday,6,Monsoon,1,0,153,Unhealthy,pm25,153,82,2.1,11.5,2.3,11.9,31.01,25.21,71,1005,6.88,6.97,SW,10.0,Clouds,93
Delhi,2026-06-11 16:00:00,16,3,Thursday,6,Monsoon,1,0,77,Moderate,pm10,55,77,12.5,17.4,2.2,3.7,35.28,21.48,31,999,3.35,4.57,N,10.0,Clouds,13
Chennai,2026-06-11 15:00:00,15,3,Thursday,6,Monsoon,1,0,79,Moderate,pm25,79,50,5.0,11.6,9.0,2.2,31.88,26.28,72,1004,0.45,0.89,SW,10.0,Clouds,100
Kolkata,2026-06-11 15:00:00,15,3,Thursday,6,Monsoon,1,0,82,Moderate,pm25,82,45,9.9,7.9,3.0,3.0,33.36,23.16,49,1000,4.32,7.54,S,10.0,Clouds,82
Mumbai,2026-06-11 22:00:00,22,3,Thursday,6,Monsoon,0,0,100,Moderate,pm25,100,57,2.4,11.5,2.8,11.9,30.75,25.15,72,1007,7.51,7.44,SW,10.0,Clouds,95
Delhi,2026-06-11 22:00:00,22,3,Thursday,6,Monsoon,0,0,64,Moderate,pm25,64,62,15.3,12.6,2.3,3.3,35.31,20.71,27,999,5.03,8.9,SE,10.0,Clouds,73
Chennai,2026-06-11 22:00:00,22,3,Thursday,6,Monsoon,0,0,75,Moderate,pm25,75,47,5.2,12.2,9.1,2.2,30.99,26.59,78,1008,1.34,3.13,SW,10.0,Clouds,87
Kolkata,2026-06-11 22:00:00,22,3,Thursday,6,Monsoon,0,0,73,Moderate,pm25,73,41,16.3,5.6,5.1,2.7,26.98,22.58,78,1005,3.89,5.82,E,10.0,Rain,100
Mumbai,2026-06-11 23:00:00,23,3,Thursday,6,Monsoon,0,0,109,Unhealthy for Sensitive Groups,pm25,109,61,2.5,11.7,3.1,11.9,30.47,24.87,72,1007,6.84,7.56,SW,10.0,Clouds,95
Delhi,2026-06-11 23:00:00,23,3,Thursday,6,Monsoon,0,0,58,Moderate,pm10,53,58,13.7,12.7,2.6,3.5,33.96,19.76,29,1001,3.88,7.06,E,10.0,Clear,0
Chennai,2026-06-11 23:00:00,23,3,Thursday,6,Monsoon,0,0,80,Moderate,pm25,80,51,5.1,12.7,10.0,2.2,30.75,26.55,79,1007,1.79,2.68,S,10.0,Clouds,92
Kolkata,2026-06-11 23:00:00,23,3,Thursday,6,Monsoon,0,0,73,Moderate,pm25,73,38,10.0,8.2,3.6,1.9,27.07,22.87,79,1005,4.15,5.58,SE,10.0,Rain,100
Mumbai,2026-06-12 12:00:00,12,4,Friday,6,Monsoon,1,0,123,Unhealthy for Sensitive Groups,pm25,123,66,2.2,11.5,2.5,11.9,31.3,24.9,68,1008,7.02,7.45,W,10.0,Clear,2
Delhi,2026-06-12 12:00:00,12,4,Friday,6,Monsoon,1,0,39,Good,pm10,30,39,12.3,12.5,2.2,1.5,38.35,23.75,27,1003,4.35,5.03,SE,10.0,Clear,8
Chennai,2026-06-12 12:00:00,12,4,Friday,6,Monsoon,1,0,73,Moderate,pm25,73,45,5.1,12.9,9.4,2.5,32.76,25.36,63,1007,0.89,2.24,SW,10.0,Clouds,100
Kolkata,2026-06-12 12:00:00,12,4,Friday,6,Monsoon,1,0,86,Moderate,pm25,86,54,13.8,7.9,4.3,5.0,36.74,25.14,42,1004,1.71,2.12,S,10.0,Clouds,100
Mumbai,2026-06-12 20:00:00,20,4,Friday,6,Monsoon,0,0,127,Unhealthy for Sensitive Groups,pm25,127,68,2.2,11.5,2.4,11.9,31.37,25.77,72,1008,6.35,7.16,W,10.0,Clouds,100
Delhi,2026-06-12 20:00:00,20,4,Friday,6,Monsoon,0,0,63,Moderate,pm25,63,56,11.2,10.0,3.1,4.9,37.21,23.21,30,1002,1.73,2.51,SE,10.0,Clear,1
Chennai,2026-06-12 20:00:00,20,4,Friday,6,Monsoon,0,0,75,Moderate,pm25,75,47,4.9,11.7,9.5,2.2,30.47,25.07,73,1008,0.89,0.89,S,10.0,Clouds,87
Kolkata,2026-06-12 20:00:00,20,4,Friday,6,Monsoon,0,0,90,Moderate,pm25,90,55,12.4,9.5,4.2,4.7,30.67,24.27,68,1005,5.98,8.24,S,10.0,Clouds,95
Mumbai,2026-06-13 15:00:00,15,5,Saturday,6,Monsoon,1,1,163,Unhealthy,pm25,163,99,2.2,11.6,2.4,11.9,31.55,25.55,70,1008,6.15,5.95,W,10.0,Clouds,50
